monthyear;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
http://archive.ipu.org//wmn-e/arc/classif010219.htm;19;Argentina;22.10.2017;255;99;38.8%;22.10.2017;72;30;41.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Ethiopia;24.05.2015;547;212;38.8%;05.10.2015;153;49;32.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;21;North Macedonia;11.12.2016;120;46;38.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;22;Iceland;28.10.2017;63;24;38.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;23;Belgium;25.05.2014;150;57;38.0%;03.07.2014;60;26;43.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Ecuador;19.02.2017;137;52;38.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;25;Serbia;24.04.2016;247;93;37.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;26;Denmark;18.06.2015;179;67;37.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;27;Austria;15.10.2017;183;68;37.2%;N.A.;61;22;36.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;28;United Republic of Tanzania;25.10.2015;393;145;36.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;29;Burundi;29.06.2015;121;44;36.4%;24.07.2015;39;18;46.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;30;Tunisia;26.10.2014;217;78;35.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;31;Italy;04.03.2018;630;225;35.7%;04.03.2018;320;110;34.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Portugal;04.10.2015;230;82;35.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;33;Uganda;18.02.2016;459;160;34.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;34;Belarus;11.09.2016;110;38;34.5%;30.08.2012;56;17;30.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;35;Monaco;14.02.2018;24;8;33.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;36;Nepal;26.11.2017;275;90;32.7%;07.02.2018;59;22;37.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;37;Switzerland;18.10.2015;200;65;32.5%;23.10.2011;46;7;15.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;38;Andorra;01.03.2015;28;9;32.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;39;United Kingdom;08.06.2017;650;208;32.0%;N.A.;789;208;26.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;40;Guyana;11.05.2015;69;22;31.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Zimbabwe;30.07.2018;270;86;31.9%;30.07.2018;80;35;43.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;42;Netherlands;15.03.2017;150;47;31.3%;26.05.2015;75;27;36.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;43;Cameroon;30.09.2013;180;56;31.1%;25.03.2018;100;26;26.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;44;El Salvador;04.03.2018;84;26;31.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Latvia;06.10.2018;100;31;31.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Trinidad and Tobago;07.09.2015;42;13;31.0%;23.09.2015;31;11;35.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;47;Germany;24.09.2017;709;219;30.9%;N.A.;69;27;39.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;48;Angola;23.08.2017;220;66;30.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Australia;02.07.2016;150;45;30.0%;02.07.2016;76;30;39.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Peru;10.04.2016;130;39;30.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;51;Philippines;09.05.2016;292;86;29.5%;09.05.2016;24;6;25.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;52;Suriname;24.05.2015;51;15;29.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;53;Albania;25.06.2017;140;41;29.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;54;Israel;17.03.2015;120;35;29.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;55;Poland;25.10.2015;460;134;29.1%;25.10.2015;100;14;14.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;56;Estonia;01.03.2015;101;29;28.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;57;South Sudan;04.08.2016;383;109;28.5%;05.08.2011;50;6;12.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;58;Sudan;13.04.2015;481;133;27.7%;01.06.2015;71;19;26.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;59;Lao People's Democratic Republic;20.03.2016;149;41;27.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;60;Kazakhstan;20.03.2016;107;29;27.1%;28.06.2017;47;5;10.6%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;61;Canada;19.10.2015;334;90;26.9%;N.A.;105;49;46.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;62;Dominican Republic;15.05.2016;190;51;26.8%;15.05.2016;32;3;9.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;63;Viet Nam;22.05.2016;494;132;26.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;64;Djibouti;23.02.2018;65;17;26.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;65;Algeria;04.05.2017;462;119;25.8%;29.12.2018;132;9;6.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Bulgaria;26.03.2017;240;62;25.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;67;Iraq;12.05.2018;329;83;25.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;68;Dominica;08.12.2014;32;8;25.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Luxembourg;14.10.2018;60;15;25.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";San Marino;20.11.2016;60;15;25.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Turkmenistan;25.03.2018;124;31;25.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;72;China;05.03.2018;2975;742;24.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;73;Slovenia;03.06.2018;90;22;24.4%;22.11.2017;40;4;10.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Somalia;23.10.2016;275;67;24.4%;23.10.2016;54;13;24.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;75;Armenia;02.04.2017;132;32;24.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;76;Afghanistan;20.10.2018;250;59;23.6%;10.01.2015;68;16;23.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Cabo Verde;20.03.2016;72;17;23.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";United States of America;06.11.2018;433;102;23.6%;06.11.2018;100;25;25.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;78;Montenegro;16.10.2016;81;19;23.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;79;Lesotho;03.06.2017;120;28;23.3%;11.07.2017;32;7;21.9%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;80;Singapore;11.09.2015;100;23;23.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;81;Guinea;28.09.2013;114;26;22.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Republic of Moldova;30.11.2014;101;23;22.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;83;Chile;19.11.2017;155;35;22.6%;19.11.2017;43;10;23.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;84;Czech Republic;20.10.2017;200;45;22.5%;05.10.2018;81;13;16.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";United Arab Emirates;03.10.2015;40;9;22.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;86;Ireland;26.02.2016;158;35;22.2%;25.04.2016;60;18;30.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Uruguay;26.10.2014;99;22;22.2%;26.10.2014;31;8;25.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Venezuela (Bolivarian Republic of);06.12.2015;167;37;22.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;89;Eritrea;01.02.1994;150;33;22.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;90;Kenya;08.07.2017;349;76;21.8%;08.07.2017;68;21;30.9%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;91;Bosnia and Herzegovina;07.10.2018;42;9;21.4%;29.01.2015;15;2;13.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;92;Lithuania;09.10.2016;141;30;21.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;93;Seychelles;08.09.2016;33;7;21.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;94;Honduras;26.11.2017;128;27;21.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;95;Bangladesh;30.12.2018;348;72;20.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Romania;11.12.2016;329;68;20.7%;11.12.2016;136;19;14.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;97;Croatia;11.09.2016;151;31;20.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Morocco;07.10.2016;395;81;20.5%;02.10.2015;120;14;11.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;99;Mauritania;01.09.2018;153;31;20.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;100;Pakistan;25.08.2018;341;69;20.2%;03.03.2018;104;20;19.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;101;Barbados;24.05.2018;30;6;20.0%;05.06.2018;21;8;38.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Cambodia;29.07.2018;125;25;20.0%;25.02.2018;62;11;17.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Equatorial Guinea;12.11.2017;100;20;20.0%;12.11.2017;72;11;15.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Slovakia;05.03.2016;150;30;20.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;105;Saudi Arabia;02.12.2016;151;30;19.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;106;Fiji;14.11.2018;51;10;19.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;107;Kyrgyzstan;04.10.2015;120;23;19.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Madagascar;20.12.2013;151;29;19.2%;29.12.2015;63;13;20.6%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;109;Guatemala;06.09.2015;158;30;19.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Tajikistan;01.03.2015;63;12;19.0%;27.03.2015;32;7;21.9%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;111;Colombia;11.03.2018;171;32;18.7%;11.03.2018;105;22;21.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Greece;20.09.2015;300;56;18.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;113;Panama;04.05.2014;71;13;18.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;114;Indonesia;09.04.2014;560;102;18.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;115;Zambia;11.08.2016;167;30;18.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;116;Cyprus;22.05.2016;56;10;17.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Gabon;06.10.2018;134;24;17.9%;13.12.2014;102;18;17.6%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;118;Jamaica;22.02.2016;63;11;17.5%;10.03.2016;21;5;23.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;119;Turkey;24.06.2018;596;104;17.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;120;Mongolia;29.06.2016;76;13;17.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Republic of Korea;13.04.2016;298;51;17.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;122;Niger;21.02.2016;171;29;17.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;123;Azerbaijan;01.11.2015;119;20;16.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;124;Malawi;20.05.2014;192;32;16.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Saint Lucia;06.06.2016;18;3;16.7%;05.01.2012;11;3;27.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;126;Togo;20.12.2018;91;15;16.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;127;Democratic People's Republic of Korea;09.03.2014;687;112;16.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;128;Libya;25.06.2014;188;30;16.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Uzbekistan;21.12.2014;150;24;16.0%;13.01.2015;100;17;17.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;130;Russian Federation;18.09.2016;450;71;15.8%;N.A.;170;31;18.2%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;131;Jordan;20.09.2016;130;20;15.4%;27.09.2016;65;10;15.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;132;Bahrain;01.12.2018;40;6;15.0%;09.12.2018;40;9;22.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Brazil;07.10.2018;513;77;15.0%;07.10.2018;81;12;14.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Paraguay;22.04.2018;80;12;15.0%;22.04.2018;45;9;20.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;135;Bhutan;18.10.2018;47;7;14.9%;20.04.2018;25;4;16.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Chad;13.02.2011;168;25;14.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Egypt;17.10.2015;596;89;14.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;138;Georgia;08.10.2016;149;22;14.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;139;Sao Tome and Principe;07.10.2018;55;8;14.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;140;Malaysia;09.05.2018;222;32;14.4%;N.A.;67;13;19.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;141;Guinea-Bissau;13.04.2014;102;14;13.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;142;Burkina Faso;29.11.2015;127;17;13.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;143;Saint Kitts and Nevis;16.02.2015;15;2;13.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;144;Syrian Arab Republic;13.04.2016;250;33;13.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;145;Ghana;07.12.2016;275;36;13.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;146;Saint Vincent and the Grenadines;09.12.2015;23;3;13.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;147;Bahamas;24.05.2017;39;5;12.8%;24.05.2017;16;7;43.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;148;Hungary;08.04.2018;199;25;12.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";India;07.04.2014;524;66;12.6%;16.01.2018;244;28;11.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;150;Palau;01.11.2016;16;2;12.5%;01.11.2016;13;2;15.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;151;Liberia;10.10.2017;73;9;12.3%;20.12.2014;30;3;10.0%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Sierra Leone;07.03.2018;146;18;12.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;153;Liechtenstein;05.02.2017;25;3;12.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;154;Malta;03.06.2017;67;8;11.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;155;Mauritius;10.12.2014;69;8;11.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Ukraine;26.10.2014;423;49;11.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;157;Congo;16.07.2017;151;17;11.3%;31.08.2017;69;13;18.8%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Myanmar;08.11.2015;433;49;11.3%;08.11.2015;224;27;12.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;159;Antigua and Barbuda;21.03.2018;18;2;11.1%;26.03.2018;17;9;52.9%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;160;Cote d'Ivoire;18.12.2016;255;28;11.0%;25.03.2018;66;8;12.1%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;161;Nauru;09.07.2016;19;2;10.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;162;Democratic Republic of the Congo;30.12.2018;485;50;10.3%;19.01.2007;108;5;4.6%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Gambia;06.04.2017;58;6;10.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;164;Japan;22.10.2017;463;47;10.2%;10.07.2016;241;50;20.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;165;Samoa;04.03.2016;50;5;10.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;166;Qatar;01.07.2013;41;4;9.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;167;Botswana;24.10.2014;63;6;9.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;168;Belize;04.11.2015;32;3;9.4%;13.11.2015;13;2;15.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;169;Brunei Darussalam;13.01.2017;33;3;9.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Marshall Islands;16.11.2015;33;3;9.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;171;Mali;24.11.2013;147;13;8.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;172;Central African Republic;14.02.2016;140;12;8.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;173;Tonga;16.11.2017;27;2;7.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;174;Benin;26.04.2015;83;6;7.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Eswatini;21.09.2018;69;5;7.2%;23.10.2018;30;7;23.3%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;176;Tuvalu;31.03.2015;15;1;6.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;177;Kiribati;30.12.2015;46;3;6.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;178;Comoros;25.01.2015;33;2;6.1%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;179;Iran (Islamic Republic of);26.02.2016;289;17;5.9%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;180;Nigeria;28.03.2015;359;20;5.6%;28.03.2015;109;7;6.4%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;181;Thailand;07.08.2014;240;13;5.4%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;182;Sri Lanka;17.08.2015;225;12;5.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;183;Lebanon;06.05.2018;128;6;4.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Maldives;22.03.2014;85;4;4.7%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;185;Kuwait;26.11.2016;65;3;4.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;186;Haiti;09.08.2015;118;3;2.5%;20.11.2016;28;1;3.6%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;187;Solomon Islands;19.11.2014;49;1;2.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;188;Oman;25.10.2015;85;1;1.2%;07.11.2015;85;14;16.5%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;189;Yemen;27.04.2003;301;1;0.3%;28.04.2001;111;3;2.7%
http://archive.ipu.org//wmn-e/arc/classif010219.htm;190;Micronesia (Federated States of);07.03.2017;14;0;0.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Papua New Guinea;24.06.2017;106;0;0.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010219.htm;"""";Vanuatu;22.01.2016;52;0;0.0%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION;WORLD CLASSIFICATION
http://archive.ipu.org//wmn-e/arc/classif010119.htm;Rank;Country;Lower or single House;Lower or single House;Lower or single House;Lower or single House;Upper House or Senate;Upper House or Senate;Upper House or Senate;Upper House or Senate
http://archive.ipu.org//wmn-e/arc/classif010119.htm;Rank;Country;Elections;Seats*;Women;% W;Elections;Seats*;Women;% W
http://archive.ipu.org//wmn-e/arc/classif010119.htm;1;Rwanda;03.09.2018;80;49;61.3%;26.09.2011;26;10;38.5%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;2;Cuba;11.03.2018;605;322;53.2%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;3;Bolivia;12.10.2014;130;69;53.1%;12.10.2014;36;17;47.2%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;4;Mexico;01.07.2018;500;241;48.2%;01.07.2018;128;63;49.2%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;5;Sweden;09.09.2018;349;165;47.3%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;6;Grenada;13.03.2018;15;7;46.7%;27.04.2018;13;4;30.8%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;7;Namibia;29.11.2014;104;48;46.2%;08.12.2015;42;10;23.8%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;8;Costa Rica;04.02.2018;57;26;45.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;9;Nicaragua;06.11.2016;92;41;44.6%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;10;South Africa 1;07.05.2014;393;168;42.7%;21.05.2014;54;19;35.2%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;11;Senegal;30.07.2017;165;69;41.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;12;Finland;19.04.2015;200;83;41.5%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;13;Spain;26.06.2016;350;144;41.1%;26.06.2016;266;98;36.8%
http://archive.ipu.org//wmn-e/arc/classif010119.htm;14;Norway;11.09.2017;169;69;40.8%;---;---;---;---
http://archive.ipu.org//wmn-e/arc/classif010119.htm;15;New Zealand;23.09.2017;120;48;40.0%;---;---;---;---
